Filename	ReadsMapped	ErrorRate	AverageLength	AverageQuality
Drosophila002_20231207_1500_MN35252_FAX30455_48242de2.rna002_70bps_fast@v3.bwa_full_length.bam	85352	85241	2.949268e-01	114	13.1
Drosophila002_20231207_1500_MN35252_FAX30455_48242de2.rna002_70bps_hac@v3.bwa_full_length.bam	88031	87919	2.816505e-01	117	21.2
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_fast@v3.0.1.bwa_full_length.bam	14299	14282	3.539968e-01	147	10.4
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_fast@v5.0.0.bwa_full_length.bam	77916	77815	3.150771e-01	102	10.0
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_hac@v3.0.1.bwa_full_length.bam	18930	18898	3.231556e-01	150	9.1
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_hac@v5.0.0.bwa_full_length.bam	98479	98330	2.891575e-01	109	10.3
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_sup@v3.0.1.bwa_full_length.bam	62506	62427	3.321318e-01	168	6.4
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_sup@v5.0.0.bwa_full_length.bam	122758	122541	2.802276e-01	114	12.7
Ecoli002_20231208_1312_P2S-00519-A_PAS44628_9e5214a7.rna002_70bps_fast@v3.bwa_full_length.bam	37836	37806	2.293226e-01	183	12.0
Ecoli002_20231208_1312_P2S-00519-A_PAS44628_9e5214a7.rna002_70bps_hac@v3.bwa_full_length.bam	39049	39012	2.350790e-01	179	17.1
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_fast@v3.0.1.bwa_full_length.bam	15356	15327	3.482386e-01	153	10.9
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_fast@v5.0.0.bwa_full_length.bam	105124	104145	2.746677e-01	110	10.8
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_hac@v3.0.1.bwa_full_length.bam	12667	12641	2.971933e-01	159	9.7
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_hac@v5.0.0.bwa_full_length.bam	131920	130361	2.314869e-01	117	11.6
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_sup@v3.0.1.T4ref.bwa_full_length.bam	55462	55397	2.918285e-01	168	7.1
