Filename	ReadsMapped	ErrorRate	AverageLength	AverageQuality
Drosophila002_20231207_1500_MN35252_FAX30455_48242de2.rna002_70bps_fast@v3.bwa.bam	110958	2.930766e-01	111	12.8
Drosophila002_20231207_1500_MN35252_FAX30455_48242de2.rna002_70bps_hac@v3.bwa.bam	115594	2.795880e-01	114	20.5
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_fast@v3.0.1.bwa.bam	35643	3.249231e-01	134	10.0
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_fast@v5.0.0.bwa.bam	181023	2.978237e-01	90	9.3
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_hac@v3.0.1.bwa.bam	49771	3.045076e-01	132	8.5
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_hac@v5.0.0.bwa.bam	207513	2.770939e-01	96	9.6
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_sup@v3.0.1.bwa.bam	130452	3.180299e-01	157	6.1
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_sup@v5.0.0.bwa.bam	212278	2.706281e-01	102	12.2
Ecoli002_20231208_1312_P2S-00519-A_PAS44628_9e5214a7.rna002_70bps_fast@v3.bwa.bam	51691	2.358012e-01	174	11.6
Ecoli002_20231208_1312_P2S-00519-A_PAS44628_9e5214a7.rna002_70bps_hac@v3.bwa.bam	52571	2.390324e-01	169	16.4
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_fast@v3.0.1.bwa.bam	30327	3.343308e-01	151	10.6
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_fast@v5.0.0.bwa.bam	227438	2.672184e-01	97	10.1
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_hac@v3.0.1.bwa.bam	24177	2.941633e-01	152	9.2
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_hac@v5.0.0.bwa.bam	247692	2.288490e-01	103	11.0
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_sup@v3.0.1.T4ref.bwa.bam	84320	2.912336e-01	166	6.7
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_sup@v3.0.1.T5ref.bwa.bam	84512	2.913314e-01	165	6.7
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_sup@v3.0.1.bwa.bam	84092	2.911039e-01	166	6.7
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_sup@v5.0.0.T4ref.bwa.bam	246569	2.098407e-01	111	14.4
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_sup@v5.0.0.bwa.bam	246445	2.097629e-01	111	14.4
Grandeyeast004_20240105_1222_P2S-00519-B_PAS98845_231d7d7e.rna004_130bps_sup@v5.0.0.bwa.bam	337142	2.499330e-01	126	12.4
HumanFibroblast002_20231207_1455_P2S-00519-B_PAS29437_b7f6c4bd.rna002_70bps_fast@v3.bwa.bam	69483	2.773252e-01	129	11.6
HumanFibroblast002_20231207_1455_P2S-00519-B_PAS29437_b7f6c4bd.rna002_70bps_hac@v3.bwa.bam	71870	2.722819e-01	129	16.4
HumanFibroblast004_20231208_1351_MN42516_FAX71838_b8f7b990.rna004_130bps_fast@v3.0.1.bwa.bam	64668	3.286651e-01	167	10.7
HumanFibroblast004_20231208_1351_MN42516_FAX71838_b8f7b990.rna004_130bps_fast@v5.0.0.bwa.bam	118193	3.024994e-01	98	9.5
HumanFibroblast004_20231208_1351_MN42516_FAX71838_b8f7b990.rna004_130bps_hac@v3.0.1.bwa.bam	61391	3.080463e-01	164	8.8
HumanFibroblast004_20231208_1351_MN42516_FAX71838_b8f7b990.rna004_130bps_hac@v5.0.0.bwa.bam	127135	2.811077e-01	106	9.8
HumanFibroblast004_20231208_1351_MN42516_FAX71838_b8f7b990.rna004_130bps_sup@v3.0.1.bwa.bam	98277	3.191461e-01	174	6.0
HumanFibroblast004_20231208_1351_MN42516_FAX71838_b8f7b990.rna004_130bps_sup@v5.0.0.bwa.bam	132100	2.717796e-01	112	12.4
Petityeast004_20240105_1222_P2S-00519-A_PAQ47538_49891fce.rna004_130bps_sup@v5.0.0.bwa.bam	308585	2.493962e-01	127	12.4
Pus1yeast004_20240105_1330_P2S-00519-A_PAS92267_56de71b8.rna004_130bps_sup@v5.0.0.bwa.bam	639269	2.452076e-01	126	12.7
Pus2yeast004_20240105_1330_P2S-00519-B_PAS98920_19ba906c.rna004_130bps_sup@v5.0.0.bwa.bam	388198	2.579827e-01	127	12.1
Pus4yeast002_20231208_1601_MN31004_FAX30455_c72fd68f.rna002_70bps_fast@v3.bwa.bam	14180	2.604890e-01	116	13.0
Pus4yeast002_20231208_1601_MN31004_FAX30455_c72fd68f.rna002_70bps_hac@v3.bwa.bam	14457	2.465608e-01	119	20.9
Pus4yeast004_20231208_1152_MN42516_FAX71838_e2d70aac.rna004_130bps_fast@v3.0.1.bwa.bam	167113	3.089788e-01	164	11.5
Pus4yeast004_20231208_1152_MN42516_FAX71838_e2d70aac.rna004_130bps_hac@v3.0.1.bwa.bam	167592	2.851100e-01	163	9.7
Pus4yeast004_20231208_1152_MN42516_FAX71838_e2d70aac.rna004_130bps_sup@v3.0.1.bwa.bam	228689	2.908445e-01	172	6.9
Pus4yeast004_20231208_1152_MN42516_FAX71838_e2d70aac.rna004_130bps_sup@v5.0.0.bwa.bam	282435	2.471040e-01	114	14.1
T4infectedecoli_20240202_1332_P2S-01618-A_PAU05281_fd3805fc.rna004_130bps_sup@v3.0.1.T4ref.bwa.bam	282554	2.454154e-01	129	7.9
T4infectedecoli_20240202_1332_P2S-01618-A_PAU05281_fd3805fc.rna004_130bps_sup@v3.0.1.bwa.bam	282554	2.454154e-01	129	7.9
T4infectedecoli_20240202_1332_P2S-01618-A_PAU05281_fd3805fc.rna004_130bps_sup@v5.0.0.T4ref.bwa.bam	304297	2.043997e-01	133	14.8
Tetrahymena002_20231207_1743_MN35252_FAX30455_c9f80979.rna002_70bps_fast@v3.bwa.bam	277768	2.952275e-01	108	12.9
Tetrahymena002_20231207_1743_MN35252_FAX30455_c9f80979.rna002_70bps_hac@v3.bwa.bam	290773	2.805988e-01	112	20.4
Tetrahymena004_20231208_0920_MN42516_FAX71838_a244513d.rna004_130bps_fast@v3.0.1.bwa.bam	173498	3.232459e-01	182	11.3
Tetrahymena004_20231208_0920_MN42516_FAX71838_a244513d.rna004_130bps_fast@v5.0.0.bwa.bam	252718	2.972288e-01	106	9.4
Tetrahymena004_20231208_0920_MN42516_FAX71838_a244513d.rna004_130bps_hac@v3.0.1.bwa.bam	171554	3.031954e-01	168	9.6
Tetrahymena004_20231208_0920_MN42516_FAX71838_a244513d.rna004_130bps_hac@v5.0.0.bwa.bam	268113	2.781255e-01	115	9.9
Tetrahymena004_20231208_0920_MN42516_FAX71838_a244513d.rna004_130bps_sup@v3.0.1.bwa.bam	224048	3.121184e-01	182	6.5
Tetrahymena004_20231208_0920_MN42516_FAX71838_a244513d.rna004_130bps_sup@v5.0.0.bwa.bam	273907	2.675516e-01	116	12.4
WTyeast002_20231111_1103_P2S-00519-A_PAS43478_1fa49e43.rna002_70bps_fast@v3.bwa.bam	13578	2.665290e-01	178	11.3
WTyeast002_20231111_1103_P2S-00519-A_PAS43478_1fa49e43.rna002_70bps_hac@v3.bwa.bam	13607	2.736137e-01	173	15.4
WTyeast004_20231111_1104_P2S-00519-B_PAQ47538_fa3726ec.rna004_130bps_fast@v3.0.1.bwa.bam	101207	2.907108e-01	175	11.3
WTyeast004_20231111_1104_P2S-00519-B_PAQ47538_fa3726ec.rna004_130bps_fast@v5.0.0.bwa.bam	181928	2.599964e-01	99	10.3
WTyeast004_20231111_1104_P2S-00519-B_PAQ47538_fa3726ec.rna004_130bps_hac@v3.0.1.bwa.bam	149546	2.728430e-01	146	8.4
WTyeast004_20231111_1104_P2S-00519-B_PAQ47538_fa3726ec.rna004_130bps_hac@v5.0.0.bwa.bam	190588	2.512078e-01	113	10.3
WTyeast004_20231111_1104_P2S-00519-B_PAQ47538_fa3726ec.rna004_130bps_sup@v3.0.1.bwa.bam	162270	2.907783e-01	165	5.9
WTyeast004_20231111_1104_P2S-00519-B_PAQ47538_fa3726ec.rna004_130bps_sup@v5.0.0.bwa.bam	196491	2.405788e-01	126	13.7
Zebrafish002_20231207_1528_P2S-00519-A_PAS44221_7e583c4c.rna002_70bps_fast@v3.bwa.bam	32335	2.664709e-01	156	10.4
Zebrafish002_20231207_1528_P2S-00519-A_PAS44221_7e583c4c.rna002_70bps_hac@v3.bwa.bam	33215	2.624981e-01	173	13.8
Zebrafish004_20231208_0919_MN31004_FAX73799_f3dea9f8.rna004_130bps_fast@v3.0.1.bwa.bam	73502	3.203844e-01	194	10.4
Zebrafish004_20231208_0919_MN31004_FAX73799_f3dea9f8.rna004_130bps_fast@v5.0.0.bwa.bam	161073	2.922654e-01	102	9.6
Zebrafish004_20231208_0919_MN31004_FAX73799_f3dea9f8.rna004_130bps_hac@v3.0.1.bwa.bam	81833	2.964483e-01	174	8.6
Zebrafish004_20231208_0919_MN31004_FAX73799_f3dea9f8.rna004_130bps_hac@v5.0.0.bwa.bam	171608	2.660986e-01	113	9.7
Zebrafish004_20231208_0919_MN31004_FAX73799_f3dea9f8.rna004_130bps_sup@v3.0.1.bwa.bam	131773	3.095223e-01	186	5.9
Zebrafish004_20231208_0919_MN31004_FAX73799_f3dea9f8.rna004_130bps_sup@v5.0.0.bwa.bam	178830	2.545598e-01	119	12.2
