Filename	ReadsMapped	ErrorRate	AverageLength	AverageQuality
Drosophila002_20231207_1500_MN35252_FAX30455_48242de2.rna002_70bps_fast@v3.bwa_full_length.bam	85241	2.949268e-01	114	13.1
Drosophila002_20231207_1500_MN35252_FAX30455_48242de2.rna002_70bps_hac@v3.bwa_full_length.bam	87919	2.816505e-01	117	21.2
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_fast@v3.0.1.bwa_full_length.bam	14282	3.539968e-01	147	10.4
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_fast@v5.0.0.bwa_full_length.bam	77815	3.150771e-01	102	10.0
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_hac@v3.0.1.bwa_full_length.bam	18898	3.231556e-01	150	9.1
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_hac@v5.0.0.bwa_full_length.bam	98330	2.891575e-01	109	10.3
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_sup@v3.0.1.bwa_full_length.bam	62427	3.321318e-01	168	6.4
Drosophila004_20231208_1307_MN31004_FAX73799_72c200e4.rna004_130bps_sup@v5.0.0.bwa_full_length.bam	122541	2.802276e-01	114	12.7
Ecoli002_20231208_1312_P2S-00519-A_PAS44628_9e5214a7.rna002_70bps_fast@v3.bwa_full_length.bam	37806	2.293226e-01	183	12.0
Ecoli002_20231208_1312_P2S-00519-A_PAS44628_9e5214a7.rna002_70bps_hac@v3.bwa_full_length.bam	39012	2.350790e-01	179	17.1
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_fast@v3.0.1.bwa_full_length.bam	15327	3.482386e-01	153	10.9
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_fast@v5.0.0.bwa_full_length.bam	104145	2.746677e-01	110	10.8
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_hac@v3.0.1.bwa_full_length.bam	12641	2.971933e-01	159	9.7
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_hac@v5.0.0.bwa_full_length.bam	130361	2.314869e-01	117	11.6
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_sup@v3.0.1.T4ref.bwa_full_length.bam	55397	2.918285e-01	168	7.1
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_sup@v3.0.1.T5ref.bwa_full_length.bam	55615	2.919839e-01	168	7.1
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_sup@v3.0.1.bwa_full_length.bam	55136	2.916523e-01	168	7.1
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_sup@v5.0.0.T4ref.bwa_full_length.bam	155131	2.116922e-01	122	15.0
Ecoli004_20240105_1224_MN31004_FAX73799_1fe84761.rna004_130bps_sup@v5.0.0.bwa_full_length.bam	154970	2.115647e-01	123	15.0
Grandeyeast004_20240105_1222_P2S-00519-B_PAS98845_231d7d7e.rna004_130bps_fast@v3.0.1.bwa_full_length.bam	21268	2.619443e-01	166	13.4
Grandeyeast004_20240105_1222_P2S-00519-B_PAS98845_231d7d7e.rna004_130bps_hac@v3.0.1.bwa_full_length.bam	21934	2.405966e-01	144	11.5
Grandeyeast004_20240105_1222_P2S-00519-B_PAS98845_231d7d7e.rna004_130bps_sup@v3.0.1.bwa_full_length.bam	23680	2.454592e-01	151	8.1
HumanFibroblast002_20231207_1455_P2S-00519-B_PAS29437_b7f6c4bd.rna002_70bps_fast@v3.bwa_full_length.bam	42442	2.800688e-01	142	12.1
HumanFibroblast002_20231207_1455_P2S-00519-B_PAS29437_b7f6c4bd.rna002_70bps_hac@v3.bwa_full_length.bam	43328	2.772101e-01	141	17.5
HumanFibroblast004_20231208_1351_MN42516_FAX71838_b8f7b990.rna004_130bps_fast@v3.0.1.bwa_full_length.bam	32534	3.426936e-01	166	11.4
HumanFibroblast004_20231208_1351_MN42516_FAX71838_b8f7b990.rna004_130bps_fast@v5.0.0.bwa_full_length.bam	61335	3.091407e-01	104	10.2
HumanFibroblast004_20231208_1351_MN42516_FAX71838_b8f7b990.rna004_130bps_hac@v3.0.1.bwa_full_length.bam	32176	3.140200e-01	167	9.7
HumanFibroblast004_20231208_1351_MN42516_FAX71838_b8f7b990.rna004_130bps_hac@v5.0.0.bwa_full_length.bam	80572	2.826126e-01	111	10.4
HumanFibroblast004_20231208_1351_MN42516_FAX71838_b8f7b990.rna004_130bps_sup@v3.0.1.bwa_full_length.bam	52336	3.264340e-01	173	6.5
HumanFibroblast004_20231208_1351_MN42516_FAX71838_b8f7b990.rna004_130bps_sup@v5.0.0.bwa_full_length.bam	94070	2.730311e-01	116	12.9
Petityeast004_20240105_1222_P2S-00519-A_PAQ47538_49891fce.rna004_130bps_fast@v3.0.1.bwa_full_length.bam	20178	2.667730e-01	165	13.3
Petityeast004_20240105_1222_P2S-00519-A_PAQ47538_49891fce.rna004_130bps_hac@v3.0.1.bwa_full_length.bam	20743	2.432638e-01	143	11.5
Petityeast004_20240105_1222_P2S-00519-A_PAQ47538_49891fce.rna004_130bps_sup@v3.0.1.bwa_full_length.bam	22865	2.474253e-01	151	8.0
Pus1yeast004_20240105_1330_P2S-00519-A_PAS92267_56de71b8.rna004_130bps_fast@v3.0.1.bwa_full_length.bam	165448	3.061269e-01	182	11.9
Pus1yeast004_20240105_1330_P2S-00519-A_PAS92267_56de71b8.rna004_130bps_hac@v3.0.1.bwa_full_length.bam	161291	2.767770e-01	158	9.1
Pus1yeast004_20240105_1330_P2S-00519-A_PAS92267_56de71b8.rna004_130bps_sup@v3.0.1.bwa_full_length.bam	208602	2.880589e-01	167	6.9
Pus1yeast004_20240105_1330_P2S-00519-A_PAS92267_56de71b8.rna004_130bps_sup@v3.0.1_70plusnts.bwa_full_length.bam	208573	2.880541e-01	167	6.9
Pus2yeast004_20240105_1330_P2S-00519-B_PAS98920_19ba906c.rna004_130bps_fast@v3.0.1.bwa_full_length.bam	97864	3.139825e-01	184	11.7
Pus2yeast004_20240105_1330_P2S-00519-B_PAS98920_19ba906c.rna004_130bps_hac@v3.0.1.bwa_full_length.bam	81177	2.866517e-01	159	9.3
