Reference	Position	Spanning_Reads	Bases_Mapped	A_Freq	T_Freq	G_Freq	C_Freq	N_freq	MismatchFreq	InsertionFreq	DeletionFreq	BCErrorFreq	MeanQual
tRNA-Ala-GGC-1-1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
tRNA-Ala-GGC-1-1	2	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
tRNA-Ala-GGC-1-1	3	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
tRNA-Ala-GGC-1-1	4	2	2	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.5
tRNA-Ala-GGC-1-1	5	2	2	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0
tRNA-Ala-GGC-1-1	6	3	3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	6.333333333333333
tRNA-Ala-GGC-1-1	7	3	3	0.6666666666666666	0.0	0.3333333333333333	0.0	0.0	0.3333333333333333	0.3333333333333333	0.0	0.6666666666666666	5.333333333333333
tRNA-Ala-GGC-1-1	8	3	3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	5.333333333333333
tRNA-Ala-GGC-1-1	9	9	9	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	6.777777777777778
tRNA-Ala-GGC-1-1	10	18	17	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05555555555555555	0.05555555555555555	7.176470588235294
tRNA-Ala-GGC-1-1	11	130	130	0.9846153846153847	0.007692307692307693	0.007692307692307693	0.0	0.0	0.015384615384615385	0.0	0.0	0.015384615384615385	8.646153846153846
tRNA-Ala-GGC-1-1	12	174	174	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	10.172413793103448
tRNA-Ala-GGC-1-1	13	269	268	0.9365671641791045	0.03731343283582089	0.022388059701492536	0.0037313432835820895	0.0	0.06343283582089553	0.0037313432835820895	0.0037174721189591076	0.07063197026022305	10.011194029850746
tRNA-Ala-GGC-1-1	14	457	456	0.9912280701754386	0.0043859649122807015	0.0043859649122807015	0.0	0.0	0.008771929824561403	0.0043859649122807015	0.002188183807439825	0.015317286652078774	13.56578947368421
